Claim ID,Claim,Source,Date/timestamp,Evidence type,Visible denominator,Costs included,Independently verified,Assessment,Relevance
CL-001,'Almost half a million in verified profits in the last 12 trading days' across ~20+ prop accounts.,V1 SunW-hRFGzY,"2025-10-23, 06:18 and 53:43","Screen-share of broker dashboards during a live webinar + verbal attestation by Rob Hoffman (WealthCharts CEO) at 53:43: 'I had my guys stop in at $375,000 ... I can verify you did those trades'","NO - no account count, no starting balance, no losing days, no trade count","NO - prop evaluation fees, resets and platform costs not netted",NO - the attesting party is the commercial partner whose product is being sold in the same broadcast,"Selected highlight; creator-reported with partner attestation. Not an audited record. The attestation covers 'these trades happened', not 'this is the full result of the strategy'.",Does not establish expectancy. Must not be used to justify testing any parameter.
CL-002,"'$61,000 P&L, 82% win rate. 92% win rate. 90% win rate on Apex'",V1,03:30,Screenshot / screen-share only,NO,NO,NO,"Selected highlight, three different numbers in one breath, no definition of what the percentage counts (trades? days? accounts?)",None.
CL-003,'I haven't had a red day since I've used wealth charts.',V1,51:59,Creator statement,NO,n/a,NO,Marketing claim made immediately after a sponsor plug; immediately qualified by 'I'm not saying that's going to happen to you'.,None.
CL-004,"'I'm up almost 70,000 in payouts this month' / '40,000 on the day' / '58,000 in funded profits'",V2 ZM2HluuMYoA,"00:20, 01:21, 44:52",Screen-share of dashboards,NO,NO,NO,"Creator-reported, selected day.",None.
CL-005,"Live $3,000 payout request shown on screen and approved.",V2,45:12-45:32,Contemporaneous screen-share,"NO - one payout, no history",NO,NO,"This is the STRONGEST single piece of performance evidence found: a contemporaneous, on-screen payout request. It still proves only that one payout occurred.",Weakly supportive that the operator is genuinely trading funded accounts. Says nothing about strategy expectancy.
CL-006,'I think I'm on 45 Midgard accounts and at least 200 trade[s] ... I'd be blowing accounts like the [rest]. I'm one of us.',V2,40:40,Creator statement (a LOSS disclosure),NO,NO,NO,Volunteered negative disclosure. Materially undercuts CL-001 to CL-004: the denominator includes many blown accounts.,"HIGH relevance - this is the only quantitative hint at the denominator, and it is large."
CL-007,'28 of my last 28 accounts funded using one strategy surrounded about that orb' and 'over 25 payouts'.,V8 9kGsdiiIT_I,"40:06, 48:21",Creator statement,NO,NO,NO,Unsupported. Directly contradicted by CL-006 from a later video.,"None, except as a contradiction marker."
CL-008,"'I invented a strategy that has a 91% success rate with orb ... I'm not going to give you guys the secret sauce, it's going to be in my Mastermind.'",V8,24:23,"Creator statement, method withheld",NO,NO,NO,"Unverifiable by construction. The claim is used as the hook for a $1,997 product sold later in the same broadcast (V8 45:15).",None for testing. Relevant only as evidence that the highest-claimed variant is NOT in the public material.
CL-009,Video title: 'Trading Strategy With 92% Success Rate'.,"Lo-CRB0KaQg (title only, video NOT reviewed)",n/a,Title text only,NO,NO,NO,Title claim. Not reviewed; recorded for completeness only.,None.
CL-010,'18 straight green days' and 'three accounts ... I haven't had a red trade yet'.,V3 seH8Y0RLyjA,"06:16, 05:56",Screen-share of eval accounts,NO,NO,NO,Selected highlight from ~2 years ago on evaluation accounts.,None.
CL-011,"MVG indicator: '99% of gaps get filled, 86% of them get filled in the same day'; 'if you were to trade the max value gap alone, you'd be 24 for 28 right now. An 85% win rate.'",V5 qf0Vubr8TMY,"41:26, 44:25","On-screen indicator statistics panel, vendor-generated","Partial - '24 for 28' has a denominator but no period, symbol or rule definition",NO,NO,Vendor-generated statistic for a product being launched in the same broadcast. Gap-fill percentages of this magnitude are trivially inflatable by choosing a small gap definition and an unbounded time horizon.,Not part of the ORB families. Flagged because it may be offered later as a filter - it should not be adopted without an independent test.
CL-012,'ORB works best on large move mornings and days ... when you do the large statistical data'.,V4 sT4YmbCm87Q,27:08,Creator statement referencing unshown data,NO,n/a,NO,Unsupported assertion referencing private analysis.,HIGH relevance as a HYPOTHESIS: it is objectively testable (condition ORB performance on opening-range width or on realised morning volatility) and it is the only conditioning variable Max ever names. Recommend the Analyst test it.
CL-013,'ORB has been in the markets for 40 years / this was named 60 years ago. I did not invent this. I just made it mainstream.',V5 06:01; V1 26:18,n/a,Creator statement,n/a,n/a,"Partially - ORB is genuinely a long-standing published concept (Crabel et al.), so the historical part is broadly accurate",Honest attribution. Notable because it is the one place he disclaims originality.,Context only.
CL-014,"'Statistically on Fridays ... if you look at 20 years worth of data, Fridays give the cleanest trends out of any day in the market.'",V2,23:33,Creator statement referencing unshown data,NO,n/a,NO,Unsupported. Testable.,Testable day-of-week hypothesis. Low priority.
CL-015,"'$315,000 last year in prop accounts, cash and charity giveaways'; '$259,000 in free accounts this year'.",V5 48:18; V1 55:08,n/a,Creator statement,NO,n/a,NO,Marketing / community claim. Not a performance claim.,None.
CL-016,'Over $3 million of options trading'.,V8,49:54,Creator statement,NO,NO,NO,Unsupported.,None.
CL-017,"Affiliate and commercial relationships are pervasive and disclosed only as promo codes, not as material-connection disclosures.",V1-V8,throughout,Observed,n/a,n/a,n/a,"Apex (BDM / BIGDADDY90), WealthCharts (BIGDADDY90), Tradeify, Alpha Futures (BDM), My Funded Futures (MAXORB), Funded Next (BDM), plus his own course, Mastermind and indicator suite. Every webinar reviewed is co-branded with a platform or prop firm and ends in a discount code.",HIGH relevance to evidence weighting: the instructional videos are sales vehicles. Chart examples are selected to sell. This is a reason to weight LIVE sessions above webinar teardowns when judging what he actually does.
CL-018,'I've never back tested a day in my life. Ever. I forward test.',V10 NF0qHcXp50o,10:42,"Creator statement, in direct answer to an audience question",n/a,n/a,NO,"Volunteered and credible. It is NOT a performance claim - it is a methodology disclosure, and it bears directly on CL-012 and CL-014.","HIGH. CL-012 ('when you do the large statistical data, ORB works best on large move mornings') and CL-014 ('20 years worth of data' on Fridays) both appeal to statistical work. CL-018 says he has never done any. Treat both as impressions, not findings."
