video_id,title,url,published_or_age,duration,video_type,instruments,session_tz,reviewed_in_full,evidence_access_type,relevance,questions_resolved,questions_created
SunW-hRFGzY,Everything You Need to Know About ORB and How I Use It - Webinar,https://www.youtube.com/watch?v=SunW-hRFGzY,2025-10-23,57:26,Webinar,NQ primary; gold + unnamed shown,US cash open 09:30 ET,YES,Full ASR transcript (no video frames inspected),HIGHEST,range construction; wick inclusion; midline construction; 15m close signal; drop-to-LTF; A+ definition; chop rule; failed-move axiom; other-session anchors; time exit 09:55; no-stop/no-target statement,does 09:55 log-off contradict EOD runners?; what is 'print through' mechanically?
ZM2HluuMYoA,How I Trade ORB Every Day To Score Massive Payouts,https://www.youtube.com/watch?v=ZM2HluuMYoA,~2 weeks before 2026-09-12,48:08,Webinar / same-day teardown,NQ/MNQ; SPX; sells puts on Robinhood,US cash open 09:30 ET,YES,Full ASR transcript,HIGHEST,1-minute is the working chart; only two patterns traded (three bar + BNR); three-bar entry and stop are mechanical; reversal preferred over continuation; sizing table; platform risk parameters 80/70/60 ticks; indicator suite description,entered 09:44 before ORB completed - conflicts with 15m close rule
seH8Y0RLyjA,Trading the 15 minute ORB the MAX way!,https://www.youtube.com/watch?v=seH8Y0RLyjA,~2 years before 2026-09-12,17:20,Foundational instruction,SPY/SPX/QQQ options; NQ futures,US cash open; also names China/London/NY opens,YES,Full ASR transcript,HIGHEST,first 15m candle incl wick; six-or-seven-candle rule stated verbatim; chop = fade the edges; invalidation = lower low in an uptrend; 1m scalping after ORB established; cross-market claims,which timeframe are the six-or-seven candles? wick breaches?
sT4YmbCm87Q,How to Know ORB is going to Fail and Bank on the Reversal,https://www.youtube.com/watch?v=sT4YmbCm87Q,~9 months; in-video 10 Nov (2025),27:56,LIVE session,NQ/MNQ + SPX + ES,09:30 ET,YES,Full ASR transcript,HIGH,live ORB-edge rejection play; 'ORB works best on large move mornings'; re-entry after stop-out; direction flip; scaling; manual stop trailing,title promises a failure/reversal method but no mechanical failure definition is given in the video
qf0Vubr8TMY,How to Read Candlesticks to Confirm ORB Breakouts - A Wealth Charts Webinar,https://www.youtube.com/watch?v=qf0Vubr8TMY,~7 months (approx 2026-02),53:38,Webinar,NQ/MNQ; SPX,09:30 ET,YES,Full ASR transcript,HIGHEST,midline = bull/bear bias line; above/below ORB = trend; three-bar defined; three-touch ORB; volatility-adaptive sizing; MVG definition and claimed stats,'confirmation' still not reduced to a single testable condition
Ft5JB2RZsng,How to Find Profits Before ORB Has Formed | $12000 Trading Session,https://www.youtube.com/watch?v=Ft5JB2RZsng,~10 months; in-video 23 Oct (2025),25:32,LIVE session,NQ/MNQ + ES + SPX,09:30 ET,YES,Full ASR transcript,HIGH,pre-ORB trading is NOT an ORB method - it is an undisclosed paid strategy ('Futures Two'/mastermind) plus three-bar; adds one micro per minute; pending-order fills,pre-ORB entry criteria are not disclosed publicly
6NZYglh13u0,How ORB Helps Traders Defeat Choppy Markets | Live Trading Session,https://www.youtube.com/watch?v=6NZYglh13u0,~10 months (Oct 2025 Monday),21:47,LIVE session,NQ/MNQ + ES + SPX,09:30 ET,YES,Full ASR transcript,HIGH,'above orb means you go long'; 30-second entries; A+ requires 'true confirmations'; triggered in without body closure via pending order; multiple losing/stopped trades shown,30-second decision-making is absent from all taught material
9kGsdiiIT_I,Max Free ORB Webinar with over 3000 attending students in 40+ countries!,https://www.youtube.com/watch?v=9kGsdiiIT_I,~1 year (approx 2025-08/09),50:58,Webinar + bar-replay demonstration,SPX/SPY implied; futures + options audience,09:30 ET,YES,Full ASR transcript,HIGHEST,most mechanical statement found: four levels of candlestick confirmation; entry = full-bodied 15m close outside ORB that also breaks day high/low; exit = break back inside ORB; TP1 midline TP2 opposite edge runners to EOD; re-entry explicitly allowed; prev-day H/L as second liquidity zone; six strategies all based on ORB,the 91% variant is withheld to paying students
3JTl-K7oYbE,The Power Hour Special,https://www.youtube.com/watch?v=3JTl-K7oYbE,in-video 20 Mar 2026 (quad witching Friday),1:46:51,LIVE afternoon session,NQ/MNQ,14:46-16:00 ET,YES,Full ASR transcript keyword-scanned (240 blocks),MEDIUM,"Power Hour is hosted by Vlady/Logan/Havi - Max is absent; ORB and the opening range are never used or mentioned; the levels used are a proprietary 'sauce box' with its own midline, plus Quantum Shift and Pivot Hunter Pro",does any Power Hour episode define a second opening range? 1 of 29+ sampled
NF0qHcXp50o,How I Use The ORB Strategy to Stay Profitable | Live Trading Session,https://www.youtube.com/watch?v=NF0qHcXp50o,in-video 'April 21st'; Pope Francis died 21 Apr 2025 and he says 'yesterday' - session is 21-22 Apr 2025,41:25,LIVE session,NQ/MNQ + SPX + ES,09:30 ET,YES,Full ASR transcript,HIGHEST (cycle 2),"pre-announced bracket (both branches stated before resolution); print-through defined; cross-instrument confirmation; initial stop = previous candle low, 9/17/6 points; alerts used instead of orders; 'never back tested a day in my life'",order type behind 'set an entry for the 10' is not stated
