Example ID,Source,Timestamp,Date of price action,Market,Live or retrospective,Family,Entry described,Stop described,Exit described,Outcome,Consistent with taught rules?,Notes
EX-01,V1 SunW-hRFGzY,23:57-25:18,2025-10-23 (same day),NQ,Retrospective (same-day teardown),F1/F2 continuation short,"15m close below ORB, then 1m lower highs, 'push that short button'",Not stated for this example,Not stated,Described as 'a life-changing day for a trader',YES for entry; NO for exit (no exit rule given),"Presented as the flagship A+ example. No stop, no target, no R."
EX-02,V1,28:00-29:01,4 days before 2025-10-23,"NQ futures, 18:00 ET open",Retrospective,F8 non-US-cash-session ORB,'print through' after the 6pm opening range,none,none,Described as strong support then continuation,Demonstrates the 18:00 ET futures anchor,The only non-09:30 anchor actually shown on a chart.
EX-03,V1,31:27-33:13,unspecified,NQ,Retrospective,F4 failed-breakout reversal,"Broke ORB down, failed, broke back into ORB, break-and-retest of ORB, wick back up, market-structure break with higher low confirmed",none,'ride it all the way to the midline ... 80 points',+80 points claimed,Adds three conditions beyond the V8 reversal definition,"The richest reversal example, but the conditions are enumerated after the fact."
EX-04,V2 ZM2HluuMYoA,06:52-07:13,~2026-08 (same day),NQ,LIVE (described same day),pre-ORB market-structure long,"'the market opened, it broke this candle structure here. I went long at 40'",implied trail,"'within a minute or two, I got stopped out at like 42 or 43'",Break-even / tiny green. A LOSING-side example volunteered.,Not an ORB trade - taken at the open before ORB existed,Valuable: he volunteers the failed first trade rather than only showing winners.
EX-05,V2,11:02-16:58,same day,NQ,Retrospective same-day,F4 reversal off ORB low,"'I told my people to go long at 9:44' - i.e. BEFORE the opening range candle closed. Trigger described as an ORB bounce into a three bar, then a break and close above the last lower high, then midline, then ORB high.",'from 36 to 08 ... a 28 point risk',ORB high; '240 point up move',Large winner claimed,NO - entry precedes the completed opening range,The single clearest instance of live behaviour diverging from the taught 15m-close rule.
EX-06,V4 sT4YmbCm87Q,03:55-06:03,2025-11-10,NQ/MNQ + SPX,LIVE,F4/F5 ORB-edge rejection short,"Entered short into the ORB print, added on the rejection of ORB high; 'I'm triggered in'",'stops at the top' (ORB high),"Trimmed at 1/4, moved stop to break-even, targeted the midline","Winner, scaled out; later stopped at break-even",Rejection-at-edge play is taught (R-021) but this was taken before the 09:45 close,Also shows 'I don't like hitting the reverse button ... but I will'.
EX-07,V4,10:18-10:44,2025-11-10,ES,LIVE,F5 midline fade,'ES did a bounce off midline','hard stop at 23 at body closure',"closed for ~2,000 per account",Winner,Midline as a reaction level is taught,One of the few explicit hard-stop statements in any live session.
EX-08,V4,16:00-18:35,2025-11-10,NQ,LIVE,re-entry short,re-entered after being edged out four times,break-even at 52,stopped at break-even,Break-even after four partial stop-outs - a LOSING/scratch sequence,Contradicts 'one and done',He counts 'I got edged four times' - useful evidence of how often the stop is hit before the move works.
EX-09,V6 Ft5JB2RZsng,02:07-09:18,2025-10-23,NQ,LIVE,F7 pre-ORB long (undisclosed strategy),pending order filled at 18 and 29; 'few two' setup,"trailing, moved repeatedly (50, 53.50, 55, 62, 69, 71)",stopped out at 71 after ~56 points locked,Large winner,NOT an ORB trade,Entry criteria are paid content. Stop was manually trailed at least six times in ~10 minutes.
EX-10,V6,16:08-17:50,2025-10-23,MNQ,LIVE,F7 pre-10:00 short,'I'm going to add one every minute until 10:00','stop right above this three-bar',"'Oh, stop me out immediately'",LOSER - stopped immediately,Time-based scaling-in is taught nowhere,Clear example of discretionary averaging that no published rule sanctions.
EX-11,V7 6NZYglh13u0,07:16-08:58,Oct 2025 Monday,NQ,LIVE,F7 pre-ORB short,'got triggered in without body closure. I just let it wick me in off a pending order','probably top structure ... like a 20 point',"partial at 86, stop to break-even, then stop tightened to 17 then 13, 'fully out'",Small winner then stopped out of the runner,Directly contradicts the body-closure rule,Explicit admission of entering without a body close.
