Rule ID,Strategy family,Rule component,Proposed rule,Evidence classification,Source,Timestamp,Market,Timeframe,Exact or paraphrased evidence,Contradictory evidence,Mechanical readiness,Research notes
R-001,ALL,Range timeframe,The opening range is built from the FIRST 15-MINUTE CANDLE of the regular session.,Explicit and repeated,V3 seH8Y0RLyjA; V8 9kGsdiiIT_I; V1 SunW-hRFGzY; V5 qf0Vubr8TMY,"V3 00:44; V8 02:06-02:37; V1 07:23,10:08; V5 05:24","NQ/MNQ, SPY/SPX/QQQ",15m,EXACT V3 00:44 'it's the first 15minute candle ... it's the first 15-minute candle high or low'. EXACT V5 05:24 'Orb is based off the 15-minute chart. I don't care what anyone says from top wick to bottom.',"CYCLE 2: V11 02:07 and 04:17 name a FIVE-MINUTE opening range in live use ('break out of this 5minute orb'), tracked before the 15-minute range completes at 09:45 (V11 09:50). R-001 remains correct for the TAUGHT method; the live method uses both. See C-10.",READY,Stable across ~2 years (2024 V3 to 2026 V5). This is the single most reliable rule in the whole body of evidence.
R-002,ALL,Session anchor,Range window is 09:30:00-09:44:59 US Eastern (NYSE cash open). The completed candle is referred to by its close time ('the 9:45 candle').,Explicit and repeated,V1; V3; V4; V2,V1 08:04; V3 02:51; V4 10:44; V2 11:02,"NQ/MNQ, US indices",15m,"EXACT V1 08:04 'The first thing I'm going to do every single day is look at this 9:30 candle right here.' EXACT V2 11:02 'right here, this is your 945 candle. Your 945 candle creates your opening range'.",None within US cash session.,READY,Note the naming convention: Max calls the same candle both 'the 9:30 candle' and 'the 945 candle'. Both refer to 0930-0945. No ambiguity once recognised.
R-003,ALL,Wick inclusion,"The range high and low are the WICK extremes of that candle, not the body.",Explicit and repeated,V3; V1; V5,"V3 01:06; V1 10:08,11:50; V5 05:36",all,15m,"EXACT V3 01:06 'that does include ... the wick of the candle'. EXACT V1 11:50 'Top of the first 15 minute, bottom of the first 15 minute to include the wick.' EXACT V5 05:36 'Yes, you always, always, always include the wick.'",None found.,READY,Confirms Phase 0 hypothesis H2.
R-004,ALL,Pre-market exclusion,"Pre-market and overnight data are deliberately excluded; no gap, news or overnight bias is used.",Explicit and repeated,V1; V5,V1 08:04-09:48; V5 18:33-19:49,all,daily context,EXACT V1 08:04 'I do not care what happens from 4:01 p.m. today until 9:29 a.m. tomorrow. I don't want to know what happened in the pre-market ... I don't care about any earnings reports.' EXACT V1 09:48 'lose the pre-market bias'.,V8 21:17 discusses gap-up statistics and gap-fill probability as inputs; V5 39:16-44:25 the MVG/imbalance indicator is an explicit non-price-action overlay. So 'no other inputs' is not literally true of his wider trading.,READY,Important for the Analyst: the ORB family as taught takes NO pre-market or overnight input at all. That makes it cleanly testable.
R-005,ALL,Midline,A third line is drawn at exactly (ORB high + ORB low) / 2.,Explicit and repeated,V1; V5; V2,"V1 12:10-13:14; V5 06:01,10:43; V2 11:23",NQ,15m level used on all TFs,"EXACT V1 12:10-12:32 measures ORB high to ORB low, '63 and 17 ... gives us 46 divided by two is 23 ... 23 is where we're going to put our ORB midlines'. EXACT V5 06:52 'the midline is the middle of the 15minute candle'.",None found.,READY,Arithmetic midpoint. Fully deterministic.
R-006,"F1,F2,F3",Breakout qualification,A valid breakout is a 15-MINUTE BODY CLOSE outside the range. A candle that closes back inside is not a signal.,Explicit and repeated,V1; V8,"V1 22:36,22:56,27:18; V8 05:41-06:43",NQ; US indices,15m,EXACT V1 22:36 'We have a candle closure outside of the orb low or a candle closure outside of the orb high on the 15-minute chart. That's your signal.' EXACT V8 06:11 'once your candle closed inside of orb then that is not a confirmation for entrance for you'.,"V6 07:16 (live) 'got triggered in without body closure. I just let it wick me in off a pending order'. V2 16:37 (live) entered at 09:44, i.e. before the ORB candle had closed. V7 (live) entries taken on 30-second charts inside the range.",READY,The taught rule is unambiguous. The live behaviour is not the taught rule. See CONTRADICTION_REGISTER C-01.
R-007,F1,Entry (15m variant),"Enter at the close of the qualifying 15-minute candle, in the direction of the break.",Explicit but isolated,V8,V8 06:11-06:43,US index (SPX-style chart),15m,"EXACT V8 06:43 'this candle close all the way down here would be my entry for shorts, which is exactly what happened today'.","V1 22:56 and 27:18 instead say: after the 15m close, DROP to 1m/2m and enter on the continuation - i.e. the 15m close is a trigger to look, not an entry.",READY for behavioural discovery; entry price assumption must be set by Analyst,"This is the cleanest single-timeframe candidate. The Analyst must choose close-of-bar vs next-bar-open and record the choice as an Analyst decision, not a source rule."
R-008,F1,Additional confluence at entry,The qualifying 15m close should ALSO break the day's high or low (not just the ORB edge).,Explicit but isolated,V8,V8 06:11-06:43,US index,15m,"EXACT V8 06:11-06:43 enumerates 'a lower low, a lower high, a lower low, a full red bodied candle with a close outside of orb which broke a lower low on the day'.","Not restated in V1, V3 or V5, where the ORB-edge close alone is presented as the signal.",READY (objective) but NOT established as a standing rule,"This is the most mechanical single sentence in the entire body of public material. It is also the only place the 'four levels of candlestick confirmation' are enumerated. Worth testing as an optional filter, flagged as Explicit-but-isolated."
R-009,F2,Entry (lower-timeframe continuation),"After the 15m close outside ORB, drop to 1m/2m and enter on the 'continuation print through'. PRINT THROUGH NOW DEFINED (cycle 2): a candle that trades beyond the PREVIOUS candle's extreme in the trade direction and continues.",Explicit and repeated (procedure); the trigger is now ALSO explicit and repeated (cycle 2),V1; V3; V11 0WddcphxAo8; V10 NF0qHcXp50o,"V1 22:56,27:18; V3 02:51,08:57; V11 08:34,07:44; V10 24:18,12:50",NQ,1m/2m,"EXACT V1 22:56 'Once you have that high closure, 15-minute closure outside of orb, you're going to drop down to the one or two minute. Doesn't matter. You could drop down to the three, four, five. Who cares?' EXACT V1 27:18 'We wait for the 15-minute closure. We drop to a lower time frame. Once we see the continuation print through, this is a gold mine.' || CYCLE 2 DEFINITION: EXACT V11 08:34 'there was my entry - correct, that's what I said, I want to see the print through - the next candle's wick hit 308 and then go.' EXACT V10 24:18 'as soon as I see a candle flip up or print through the previous candle, I'm going long.' EXACT V10 12:50 'We need to see printage, though. If I don't see printage, I'm not a fan.'","The permissiveness ('1, 2, 3, 4, 5 - who cares') means the entry timeframe is a free parameter, not a rule.",READY (upgraded from INCOMPLETE in cycle 2),"RR-002 Q1/P-2. Entry timeframe remains a free parameter (V1 22:56 'one, two, three, four, five - who cares'), but the TRIGGER is no longer an invention. This is the single most testable addition from cycle 2."
R-010,F3,Entry (break and retest / 'one-two punch'),"After the break, wait for price to retest the ORB level, fail there, and close beyond it again; enter on that second candle.",Explicit but isolated,V8,V8 11:50-12:20,US index,1m,"EXACT V8 11:50 'the onew [one-two] punch is always going to be the fail and the retest ... the second retest candle that failed and closed outside of orb, the second this candle made a newer low, that's the retest confirmation and this was your entry today'.","V2 18:41 'break and retest' is named as one of only two patterns he trades, but he says 'Very, very tough to understand break and retests. I could give you an entire class on break and retest' - i.e. he declines to define it.",INCOMPLETE - no tolerance for what counts as a 'retest' (touch? wick? proximity?),Highest-value unresolved definition for the Analyst. See UNRESOLVED_DEFINITIONS U-02.
R-011,"F1,F2,F3",Stop / invalidation (version A - ORB level),Stop at the ORB level that was broken.,Explicit but isolated,V1,V1 26:38-26:58,NQ,15m,"PARAPHRASE V1 26:38 - from the breakout candle close at '03' back to the ORB level at '17' is 14 points; he offers this as one stop zone and a market-structure stop (03 to 33 = 30 points) as another, then says 'you can use different orb as your stop loss criteria'.",V1 41:00 'There's no price targets for me. There's no stop losses for me. All there is is candlestick structure.' Direct self-contradiction within the same video.,"INCOMPLETE - offered as an option, not a rule",See CONTRADICTION_REGISTER C-02.
R-012,"F1,F4",Stop / invalidation (version B - close back inside ORB),The position is closed when price breaks back INSIDE the opening range.,Explicit but isolated,V8,V8 14:52-15:24,US index,1m and 15m,"EXACT V8 14:52 'the break back into orb is where you close your trade. If we break back in and we close in this zone, this is what I'm risking'.",Ambiguity in the same sentence: 'break back in' vs 'close in this zone'. Touch vs close is not settled.,READY IF the Analyst fixes touch-vs-close,"This is the most usable stop definition found because it is a level, not a discretionary judgement. Analyst must pre-register touch vs close."
R-013,F-TB (three bar),Three-bar pattern definition,Bar 1 trends; Bar 2 ranges INSIDE bar 1's body; Bar 3 continues beyond bar 2 in bar 1's direction.,Explicit and repeated,V2; V5,V2 41:21-42:24; V5 15:02-16:22,NQ,any (demonstrated on 1m and 15m),"EXACT V2 41:41 'we trend up, we range within the candle body, and then we continue upwards. That's a three bar right here. Bar number one. Bar number two. Bar number three is the continuation pattern.' EXACT V5 15:56 'trend, range, trend'.",V2 41:41 also warns 'it's not sexy. It's never like some perfect three bar' and labels two visually different formations as three bars - so tolerance is loose in practice.,READY,Fully mechanisable if 'range within the candle body' is read as an inside bar relative to bar 1's BODY (not range). Analyst must pre-register that choice.
R-014,F-TB,Three-bar entry and stop,Enter when bar 3 breaks beyond bar 2's extreme; stop just beyond bar 2's opposite wick.,Explicit but isolated,V2,V2 42:03-42:24,NQ,1m,"EXACT V2 42:03 'You wait for bar number two to form. As soon as bar number three breaks above bar number two, you enter the trade with a stop-loss at the bottom or right below candle 2's wick.'",None found.,READY,"This is the only complete entry+stop pair stated anywhere in the public material. It is a candlestick pattern rule, not an ORB rule, but Max states it is one of only two patterns he trades."
R-015,ALL,Patterns actually traded,Only two entry patterns are traded: break-and-retest and the three bar.,Explicit but isolated,V2,"V2 18:41,43:29",NQ,1m,"EXACT V2 18:41 'There's orb, there's a three bar, one of my favorite patterns. I only trade two candlestick patterns. I only trade two, break and retest and a three bar.'","Live sessions show entries described as neither (wick-and-flip, MVG fill, 'my pattern', pending-order fills).",READY as a scoping statement,Materially narrows what needs to be modelled. Combined with R-013/R-014 this is the most automatable part of the method.
R-016,"F1,F2,F3,F4",Profit target 1,First take-profit is the ORB midline.,Explicit and repeated,V8; V5; V4,"V8 18:38-19:09,32:13; V5 12:54,20:14; V4 06:03",US index; NQ,any,EXACT V8 18:38 'two places to take profit ... 17 minus 7 is 10 so right in the middle ... you could take profit on the break of the midline and that could be your scale out point'. EXACT V5 20:14 'take the short when we broke into orb. Watch the continuation and take profit at midline.',None. This is consistent.,READY,Deterministic level. Note the R multiple implied by ORB-edge stop to midline is roughly 1:1 to 1.5:1 on the examples shown - relevant to the project's 2R requirement.
R-017,"F1,F2,F3,F4",Profit target 2 and runners,Second take-profit is the OPPOSITE ORB edge; remaining size is held as runners to the session close.,Explicit and repeated,V8,"V8 18:38-19:09,32:13,09:47",US index,15m,"EXACT V8 19:09 'real diamond handers you ride the top of orb to the bottom of orb'. EXACT V8 32:13 'first take profit point, second take profit point, runners hold them ... hold your runners until the end of the day because we're most likely going to close with that fuller body candle'.","V1 41:18 'I log off sometimes at 9:40, 9:45. Once the orb is formed to hit an orb trade, I'm going to log off at 9:55.' Also 'One and done'. These cannot both be the rule.",READY (levels) but the holding period is CONTRADICTORY,"See CONTRADICTION_REGISTER C-03. This matters for the project's 180-minute constraint: the runner version breaches it, the midline version does not."
R-018,ALL,Trade count,"'One and done' - one good trade, then log off for the day.",Explicit and repeated in teaching; contradicted in every live session,V1; V5; V2,"V1 40:36-41:38; V5 01:23,28:30; V2 35:43,37:08",NQ,n/a,"EXACT V1 41:18 'I literally log off ... you'll never see me log [in again]'. EXACT V2 37:08 'one and done, consistency over everything'.","V4: at least 5 separate entries plus re-entries and a direction flip. V6: 3+ trades plus a final short. V7 [V6 15:25] 'I only took two trades ... well, three trades'. V2 06:52-11:02: two trades in the first 20 minutes.",READY as a stated rule; FALSE as a description of behaviour,"Central contradiction. The Analyst must test 'one and done' as a variant, not assume it."
R-019,ALL,Re-entry,Re-entry after being stopped out or exiting early is explicitly permitted and encouraged.,Explicit and repeated,V8; V4,"V8 23:52,25:55; V4 19:01",US index; NQ,any,"EXACT V8 25:55 'you should never ever ever have an issue re-entering the trade where the initial analysis was because the data is actually in your favor'. EXACT V4 19:01 'I re-entered, llama. Uh I re-entered the short.'",Conflicts with R-018 'one and done'.,READY,Re-entry is permitted; the NUMBER of re-entries is unbounded in the evidence. Analyst must cap it and record the cap as an Analyst decision.
R-020,"F5,F6",Day-classification heuristic (the six-or-seven candle rule),"If six or seven candles pass without a real break outside the opening range, expect EITHER a larger-than-expected move late in the afternoon OR a choppy inside-range day.","Explicit but isolated (stated once, verbatim, with a chart count)",V3,V3 01:26-01:47; restated V3 04:35,NQ / SPY,"15-minute — CONFIRMED in cycle 3. Six to seven 15m candles from 09:45 lands at 11:15-11:30, exactly the clock time stated independently in V14 18:07.","EXACT V3 01:26 'if you don't have this written down I suggest you write this down now. My rule of thumb is six or seven candles - 1 2 3 4 5 6 7 - if we haven't really broken outside of orb then in my mind we're going to have A) a larger than expected move late in the afternoon or B) a very choppy inside candle or orb day'. || CYCLE 2, V12 28:24 'what did I say last time - we have six candles inside of orb. Now this means two things: one, you're either going to have a larger than expected move now, so you definitely want to play the confirmed break of orb; two, it is going to bounce around orb and stay close within it, usually within about 15 points on each side.' || CYCLE 3, V14 18:07 GIVES IT A CLOCK TIME: 'With Orb, if we're still within orb by 11:30, noon, two things are going to happen: one, you're going to see a larger than expected move breakout in the afternoon, like a very large move; or two, it's going to stay within probably for the rest of the day.'","None, but note the conclusion is DISJUNCTIVE and therefore cannot discriminate prospectively - Max does not claim it can.",TRIGGER READY (timeframe resolved). Conclusion still disjunctive.,U-04 RESOLVED in cycle 2. New: the second branch is QUANTIFIED (approx 15 points either side of ORB) and the action attached is to PLAY THE CONFIRMED BREAK - which contradicts R-021 (fade the edges). See C-11. || U-04 now CONFIRMED rather than inferred: two independent statements ~2 years apart agree.
R-021,F5,Action when the range holds (chop),"When the day is classified as chop, fade the range: long at the ORB low, short at the ORB high.",Explicit and repeated,V3; V1,"V3 01:47; V1 21:15,22:16",NQ / SPY,15m and lower,EXACT V3 01:47 'that means this becomes a short every time you hit the top'. EXACT V1 21:15 'you got to go long at the bottom and short the top. That's how you play the chop.',V1 22:16 also says the alternative response is to stand aside and 'wait till you hit those key levels'. V3 16:13 'choppy choppy day maybe you take today off'. || CYCLE 2 DIRECT CONTRADICTION: V12 28:55 attaches the OPPOSITE action to the same condition - 'you definitely want to play the confirmed break of orb'. See C-11.,READY (objective levels) but the gating condition is not discriminating,"Two permitted actions (fade, or stand aside) for the same condition. Analyst should test the fade as its own candidate and treat 'stand aside' as the null."
R-022,F4,Failed-move axiom,Nothing is more bullish than a failed bearish move and nothing more bearish than a failed bullish move.,Explicit and repeated (4 independent sources over ~1 year),V1; V2; V5; V8,V1 31:47-32:08; V2 34:20-35:43; V5 08:34; V8 17:04,NQ; US indices,any,"EXACT V8 17:04 'nothing is more bearish than a failed bullish move and nothing is more bullish than a failed bearish move'. EXACT V2 35:02 'if the short ain't working, then it's probably time to go long'.",None.,"Axiom, not a rule - needs an operational definition of 'failed'",This is the most-repeated statement in the entire body of material and is the premise behind family F4.
R-023,F4,Failed-breakout reversal - operational form,"Price breaks out of ORB, then breaks back INSIDE the range; take the opposite direction and target the opposite ORB edge.",Explicit but isolated (only V8 states it as a sequence with an action and a target),V8; supported by V1 example,V8 16:33-17:34; V1 32:30-33:13,US index; NQ,15m with 1m confirmation,EXACT V8 17:04-17:34 'now that we have failed to break to the upside and we have broke back inside of the opening range I would play a short all the way down to the bottom ... this confirmation newer low I would play a short onto the bottom unless it broke the structure up here'. V1 32:50 describes the bullish mirror: 'Broke back into ORB. Break and retest of ORB. Wick back up and continuation into a market structure break with a higher low confirmed' - ridden to the midline for ~80 points.,"V1 32:50 adds THREE further conditions (break-and-retest, wick back up, market-structure break with a higher low) that V8 does not require. The two descriptions are not the same trigger.",PARTIALLY READY - the event is objective; the entry trigger is not settled,Does the return inside require a CLOSE inside? V8 says 'break back in ... and we close in this zone' - ambiguous. Does the original breakout extreme become the stop? NEVER STATED anywhere. See U-05.
R-024,F4 vs F1,Does Max distinguish continuation from reversal prospectively?,He states a preference for reversals but gives no prospective discriminator.,Explicit (the preference); Unresolved (the discriminator),V2,V2 33:38-34:20,NQ,1m,"EXACT V2 33:38 'I'll tell you right now, I prefer reversal trading. I think the moves are more aggressive, but riding the trend is the most consistent way of trading. So it's very much tough to manage both, and being able to flip your bias while it's happening like I did today.' EXACT V2 13:26 he poses the question 'How do I know if it's a reversal versus a breakout?' and answers it with market structure - the previous lower high - not with an ORB rule.",V2 13:26-15:34 does give an answer: the reversal is confirmed when price breaks AND CLOSES beyond the last opposing swing point (lower high / higher low). That is prospective and objective on a given timeframe.,PARTIALLY READY,"CRITICAL for the mandate's instruction not to merge continuation and reversal. The only prospective discriminator Max offers is market-structure break, and he offers it on the 1-minute chart, not via ORB."
R-025,"F1,F2,F3,F4",Market structure break,"On the working timeframe, the trend is broken when price breaks and closes beyond the most recent opposing swing (last lower high in a downtrend, last higher low in an uptrend).",Explicit and repeated,V2; V5; V3,"V2 14:09-15:34,17:18; V5 30:37-33:44; V3 12:24",NQ,1m primarily,"EXACT V2 15:12 'This break and closure above this market structure right here now 100% tells you this lower high was taken out. The downtrend is broken ... once it's taken out, even once, we are no longer downtrending on the one minute time frame.' EXACT V3 12:45 'when you have that simple higher low, higher low, and then we have a lower low, that's an invalidation of your current analysis, it's time to get out.'",Swing-point identification itself is drawn by hand on the chart and is not given a mechanical definition (no fractal/bar-count rule).,PARTIALLY READY,Needs a swing-detection rule the Analyst must supply. Record as an Analyst decision.
R-026,ALL,Bias from the midline,Above the ORB midline = bullish; below = bearish. Above ORB = uptrending; below ORB = downtrending.,Explicit but isolated,V5,V5 10:43-11:37,NQ,any,"EXACT V5 10:43 'Take the orb midline. If it's below the orb midline ... we are bearish. If we are above the orb midline, we are bullish. If we are below orb ... we are downtrending. If we are above orb, we are uptrending. I don't need to know much more than that.'",V7 14:59 (live) 'we're above orb. Above orb means you go long. This is quite simple to understand' - consistent. But in the same breath he then says nothing looks good and does not go long.,READY,Fully deterministic directional filter. Cheap to test and it is a genuine candidate filter rather than an invented one.
R-027,ALL,Second liquidity zone,Previous day's high and low are the second-most-important intraday levels after ORB — and breaking one AT THE SAME TIME as the ORB is a named filter with a claimed 85-87% success rate.,Explicit but isolated,V8,V8 08:15-08:46,US index,daily,"EXACT V8 08:15 'we're going to mark out the previous day's high and the previous day's low. Now that is going to give us our second major liquidity zone.' || CYCLE 3, V14 18:58: 'There's an 85 to 87% chance of success if you break orb and previous day highs or lows at the same time. So if you start breaking on this daily candle right here on NQ, if you start breaking Orb and the highs, you're most likely going to see continuations.'",V4 09:47 (live) also references 'the opening print' as a target. V1 mentions 'previous days high and low' at 09:59 in V3.,READY,"Objective. Optional confluence filter, not part of the core ORB trigger. || Promoted from a level to a quantified conjunction filter. See CL-021."
R-028,ALL,Entry timeframe drift over time,"The working execution timeframe moved from 15m/1m (2024-2025) to explicitly 1-minute (2026), with 30-second charts used live.",Demonstrated but unstated / Historical drift,V3 (2024); V1 (2025-10); V2 (2026-08); V7 (2025-10 live),"V3 08:57; V1 22:56; V2 29:50; V7 01:17,04:43",NQ,1m / 30s,"EXACT V2 29:50 'the one minute chart is what I trade on. One minute chart is what I trade on.' EXACT V7 01:17 (live) 'on the 30 second time frame, if I see a print through this I'll jump at it'.",V2 29:50 immediately adds 'You can trade on any chart you feel comfortable with ... the picture should look the same.',n/a,"Not a rule change so much as an increasing permissiveness. The Analyst should treat execution timeframe as a parameter to discover, not a constant to assume."
R-029,OTHER SESSIONS,Non-US session anchors,"The same construction is claimed to apply to the futures 18:00 ET open, the London 03:00 ET open and an Asia open in the 20:00-21:00 ET window.","Explicit but isolated, and NOT demonstrated",V1; V3,V1 29:01-29:42; V3 02:07,"claimed for FX, crypto, commodities, stocks",15m,EXACT V1 29:01 'The opening range is applicable to 6:00 to 6:15 when the market opens. The opening range breakout is applicable to the Asia open between 8:00 and 9:00 p.m. Eastern Standard Time. If you want to do 8:15 or 9:15 from the open. How about London? 3:00 a.m. Eastern Standard Time to 3:15 Eastern Standard Time.',"The Asia window is given three different ways in one sentence (8-9pm, 8:15, 9:15) and is therefore not defined. No non-US example is ever shown on a chart.",INCOMPLETE for Asia; READY for London (03:00-03:15 ET) and the 18:00 ET futures open,"DO NOT assume the US-session evidence transfers to FX. Max's own support for FX is third-party anecdote ('people are DMing me saying it works like a charm', V3 09:18)."
R-030,ALL,Sizing,50k account: 5 micros to 1 mini. 100k: double. 150k: 3 minis. Size DOWN when volatility is high so the stop can be wider.,Explicit and repeated,V2; V5,V2 35:43-36:25; V5 21:33-23:45,NQ/MNQ,n/a,"EXACT V2 35:43 '50k account based on volatility, you go five micros to one mini, you double it for 100, you triple it for 150. So for a 150k account, I normally trade three minis.' EXACT V5 22:25 'instead of playing my normal one to three mini size, I was playing three to five micro size because I knew that a 10 to 15 point stop-loss was not going to work today'.",None.,READY,"The volatility-adaptive stop is the substantive point: stop width is set from the day's volatility, not fixed. No formula (no ATR multiple) is ever given."
R-031,ALL,Platform-level TRAIL parameters used live (NOT an initial stop),"80-tick stop / 70-tick trail / 60-tick trail trigger is a TRAILING configuration in WealthCharts, not the initial risk unit.",Demonstrated but unstated as a rule,V2,V2 07:33,NQ,n/a,"EXACT V2 07:33 'these are my current risk parameters. 80 tick stop-loss, trailing at 70 with a trail after trigger at 60 ticks, guys. 60 ticks. That's only 14 points.' (the arithmetic in the quote is his, and is wrong: 60 NQ ticks = 15 points)","CORRECTED IN CYCLE 2. No instance was found, in any of 12 videos, of 80 ticks used as an INITIAL stop. Every stated initial stop in a live session is a level (candle extreme / structure), 6-17 NQ points.",READY,RR-002 Q2.1 answered: do NOT use 80 ticks as an initial stop in EXP-008.
